Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
316. Remove Duplicate Letters,Medium,701.1K,352.8K,50.3%,8.7K,94,"string, stack, greedy, monotonic-stack"
318. Maximum Product of Word Lengths,Medium,373.6K,225.1K,60.3%,3.5K,23,"array, string, bit-manipulation"
319. Bulb Switcher,Medium,442K,235.4K,53.3%,2.7K,97,"math, brainteaser"
321. Create Maximum Number,Hard,209.5K,65K,31.0%,2K,32,"array, two-pointers, stack, greedy, monotonic-stack"
322. Coin Change,Medium,4.5M,2M,45.0%,19.3K,127,"array, dynamic-programming, breadth-first-search"
324. Wiggle Sort II,Medium,480.9K,167.8K,34.9%,3.1K,26,"array, divide-and-conquer, greedy, sorting, quickselect"
326. Power of Three,Easy,1.9M,911K,47.2%,3.1K,61,"math, recursion"
327. Count of Range Sum,Hard,225.2K,81.6K,36.2%,2.3K,18,"array, binary-search, divide-and-conquer, binary-indexed-tree, segment-tree, merge-sort, ordered-set"
328. Odd Even Linked List,Medium,1.7M,1.1M,61.7%,10.2K,139,linked-list
329. Longest Increasing Path in a Matrix,Hard,1M,564.8K,54.3%,9K,51,"array, dynamic-programming, depth-first-search, breadth-first-search, graph, topological-sort, memoization, matrix"
330. Patching Array,Hard,303.8K,161.7K,53.2%,2.3K,147,"array, greedy"
331. Verify Preorder Serialization of a Binary Tree,Medium,321.3K,146.6K,45.6%,2.4K,11,"string, stack, tree, binary-tree"
332. Reconstruct Itinerary,Hard,1.1M,454.9K,43.3%,6K,112,"depth-first-search, graph, eulerian-circuit"
334. Increasing Triplet Subsequence,Medium,1.7M,666.7K,39.3%,8.2K,166,"array, greedy"
335. Self Crossing,Hard,118.1K,36.7K,31.1%,393,17,"array, math, geometry"
336. Palindrome Pairs,Hard,598.9K,213.8K,35.7%,4.5K,38,"array, hash-table, string, trie"
337. House Robber III,Medium,741.9K,404.3K,54.5%,8.6K,66,"dynamic-programming, tree, depth-first-search, binary-tree"
338. Counting Bits,Easy,1.5M,1.2M,79.0%,11.2K,87,"dynamic-programming, bit-manipulation"
341. Flatten Nested List Iterator,Medium,721.7K,468.1K,64.9%,4.9K,55,"stack, tree, depth-first-search, design, queue, iterator"
342. Power of Four,Easy,1.5M,723.8K,48.6%,4K,114,"math, bit-manipulation, recursion"
343. Integer Break,Medium,617.3K,374.7K,60.7%,5.2K,72,"math, dynamic-programming"
344. Reverse String,Easy,3.7M,2.9M,79.1%,8.8K,230,"two-pointers, string"
345. Reverse Vowels of a String,Easy,1.9M,1M,55.0%,4.7K,142,"two-pointers, string"
347. Top K Frequent Elements,Medium,3.8M,2.4M,63.5%,17.7K,192,"array, hash-table, divide-and-conquer, sorting, heap-priority-queue, bucket-sort, counting, quickselect"
349. Intersection of Two Arrays,Easy,1.8M,1.3M,75.4%,6.2K,159,"array, hash-table, two-pointers, binary-search, sorting"
350. Intersection of Two Arrays II,Easy,2.5M,1.4M,58.7%,7.7K,143,"array, hash-table, two-pointers, binary-search, sorting"
352. Data Stream as Disjoint Intervals,Hard,188K,113.1K,60.2%,1.8K,63,"binary-search, design, ordered-set"
354. Russian Doll Envelopes,Hard,625.9K,232.1K,37.1%,6.1K,34,"array, binary-search, dynamic-programming, sorting"
355. Design Twitter,Medium,511.8K,209.2K,40.9%,4K,87,"hash-table, linked-list, design, heap-priority-queue"
357. Count Numbers with Unique Digits,Medium,277.9K,148.5K,53.4%,1.6K,22,"math, dynamic-programming, backtracking"
363. Max Sum of Rectangle No Larger Than K,Hard,290.6K,128.8K,44.3%,3.5K,8,"array, binary-search, matrix, prefix-sum, ordered-set"
365. Water and Jug Problem,Medium,267.3K,111.8K,41.8%,1.5K,42,"math, depth-first-search, breadth-first-search"
367. Valid Perfect Square,Easy,1.5M,678.7K,43.9%,4.3K,64,"math, binary-search"
368. Largest Divisible Subset,Medium,699.2K,319.5K,45.7%,6K,100,"array, math, dynamic-programming, sorting"
371. Sum of Two Integers,Medium,1M,528.3K,52.7%,4.3K,81,"math, bit-manipulation"
372. Super Pow,Medium,220.3K,77.3K,35.1%,963,19,"math, divide-and-conquer"
373. Find K Pairs with Smallest Sums,Medium,819.9K,329.3K,40.2%,6.4K,88,"array, heap-priority-queue"
374. Guess Number Higher or Lower,Easy,1.3M,730K,54.4%,3.8K,139,"binary-search, interactive"
375. Guess Number Higher or Lower II,Medium,265.9K,133.1K,50.0%,2.2K,55,"math, dynamic-programming, game-theory"
376. Wiggle Subsequence,Medium,527.2K,256.4K,48.6%,5.2K,17,"array, dynamic-programming, greedy"
377. Combination Sum IV,Medium,942.5K,512.3K,54.3%,7.5K,97,"array, dynamic-programming"
378. Kth Smallest Element in a Sorted Matrix,Medium,1M,649.9K,62.9%,10K,41,"array, binary-search, sorting, heap-priority-queue, matrix"
380. Insert Delete GetRandom O(1),Medium,1.9M,1M,54.7%,9.4K,166,"array, hash-table, math, design, randomized"
381. Insert Delete GetRandom O(1) - Duplicates allowed,Hard,423.4K,150.8K,35.6%,2.3K,25,"array, hash-table, math, design, randomized"
382. Linked List Random Node,Medium,396.5K,251.7K,63.5%,3.1K,59,"linked-list, math, reservoir-sampling, randomized"
383. Ransom Note,Easy,2.1M,1.3M,62.9%,5.1K,86,"hash-table, string, counting"
384. Shuffle an Array,Medium,593.6K,347.9K,58.6%,1.4K,24,"array, math, randomized"
385. Mini Parser,Medium,154.1K,60.1K,39.0%,462,12,"string, stack, depth-first-search"
386. Lexicographical Numbers,Medium,344.9K,250.9K,72.7%,2.7K,124,"depth-first-search, trie"
387. First Unique Character in a String,Easy,2.9M,1.8M,62.7%,9.1K,100,"hash-table, string, queue, counting"
388. Longest Absolute File Path,Medium,337.8K,161.9K,47.9%,1.3K,21,"string, stack, depth-first-search"
389. Find the Difference,Easy,1.4M,804K,59.6%,5.1K,92,"hash-table, string, bit-manipulation, sorting"
390. Elimination Game,Medium,173.6K,79.3K,45.7%,1.6K,32,"math, recursion"
391. Perfect Rectangle,Hard,136.6K,46.7K,34.2%,890,16,"array, line-sweep"
392. Is Subsequence,Easy,3.6M,1.7M,48.1%,9.8K,186,"two-pointers, string, dynamic-programming"
393. UTF-8 Validation,Medium,280K,126.7K,45.2%,914,18,"array, bit-manipulation"
394. Decode String,Medium,1.5M,891.6K,60.1%,12.9K,98,"string, stack, recursion"
395. Longest Substring with At Least K Repeating Characters,Medium,529.7K,239K,45.1%,6.3K,55,"hash-table, string, divide-and-conquer, sliding-window"
396. Rotate Function,Medium,210.9K,90.9K,43.1%,1.6K,22,"array, math, dynamic-programming"
397. Integer Replacement,Medium,356K,128.7K,36.1%,1.3K,24,"dynamic-programming, greedy, bit-manipulation, memoization"
398. Random Pick Index,Medium,384.1K,245.4K,63.9%,1.3K,23,"hash-table, math, reservoir-sampling, randomized"
399. Evaluate Division,Medium,840.5K,523.9K,62.3%,9.5K,179,"array, string, depth-first-search, breadth-first-search, union-find, graph, shortest-path"
400. Nth Digit,Medium,291.7K,102.7K,35.2%,1.1K,24,"math, binary-search"
401. Binary Watch,Easy,276.6K,153K,55.3%,1.4K,54,"backtracking, bit-manipulation"
402. Remove K Digits,Medium,1.6M,529.3K,34.0%,9.7K,229,"string, stack, greedy, monotonic-stack"
403. Frog Jump,Hard,605K,279.8K,46.2%,5.6K,90,"array, dynamic-programming"
404. Sum of Left Leaves,Easy,1.1M,658.3K,61.1%,5.5K,86,"tree, depth-first-search, breadth-first-search, binary-tree"
405. Convert a Number to Hexadecimal,Easy,320.3K,158.6K,49.5%,1.3K,13,"math, bit-manipulation"
406. Queue Reconstruction by Height,Medium,422.3K,311.6K,73.8%,7.1K,37,"array, binary-indexed-tree, segment-tree, sorting"
407. Trapping Rain Water II,Hard,192.8K,93.3K,48.4%,3.8K,39,"array, breadth-first-search, heap-priority-queue, matrix"
409. Longest Palindrome,Easy,1.5M,840.4K,55.4%,6K,200,"hash-table, string, greedy"
410. Split Array Largest Sum,Hard,707.1K,400.5K,56.6%,10K,84,"array, binary-search, dynamic-programming, greedy, prefix-sum"
412. Fizz Buzz,Easy,1.8M,1.4M,73.2%,2.8K,78,"math, string, simulation"
413. Arithmetic Slices,Medium,487.7K,317K,65.0%,5.4K,29,"array, dynamic-programming, sliding-window"
414. Third Maximum Number,Easy,1.7M,596.1K,35.9%,3.1K,66,"array, sorting"
415. Add Strings,Easy,1.4M,725.2K,51.6%,5.1K,48,"math, string, simulation"
416. Partition Equal Subset Sum,Medium,2M,955.9K,46.8%,12.5K,98,"array, dynamic-programming"
417. Pacific Atlantic Water Flow,Medium,932K,523.8K,56.2%,7.5K,106,"array, depth-first-search, breadth-first-search, matrix"
419. Battleships in a Board,Medium,292.4K,221.8K,75.8%,2.3K,34,"array, depth-first-search, matrix"
420. Strong Password Checker,Hard,318.5K,45K,14.1%,887,54,"string, greedy, heap-priority-queue"
421. Maximum XOR of Two Numbers in an Array,Medium,329K,175.4K,53.3%,5.6K,58,"array, hash-table, bit-manipulation, trie"
423. Reconstruct Original Digits from English,Medium,163.4K,83.8K,51.3%,833,20,"hash-table, math, string"
424. Longest Repeating Character Replacement,Medium,1.6M,899.9K,55.5%,11K,135,"hash-table, string, sliding-window"
427. Construct Quad Tree,Medium,182.5K,138.9K,76.1%,1.6K,96,"array, divide-and-conquer, tree, matrix"
429. N-ary Tree Level Order Traversal,Medium,451.9K,321K,71.0%,3.6K,15,"tree, breadth-first-search"
430. Flatten a Multilevel Doubly Linked List,Medium,570.2K,345.3K,60.6%,5.1K,34,"linked-list, depth-first-search, doubly-linked-list"
432. All O`one Data Structure,Hard,353.9K,159.9K,45.2%,2.1K,93,"hash-table, linked-list, design, doubly-linked-list"
433. Minimum Genetic Mutation,Medium,354.1K,193.3K,54.6%,3K,46,"hash-table, string, breadth-first-search"
434. Number of Segments in a String,Easy,557.3K,202.4K,36.3%,803,27,string
435. Non-overlapping Intervals,Medium,1.2M,658.7K,54.3%,8.3K,82,"array, dynamic-programming, greedy, sorting"
436. Find Right Interval,Medium,233.2K,123.2K,52.8%,2.2K,48,"array, binary-search, sorting"
437. Path Sum III,Medium,1.3M,619.5K,46.1%,11.1K,109,"tree, depth-first-search, binary-tree"
438. Find All Anagrams in a String,Medium,1.8M,932.8K,51.4%,12.5K,114,"hash-table, string, sliding-window"
440. K-th Smallest in Lexicographical Order,Hard,226.7K,95.1K,42.0%,1.3K,134,trie
441. Arranging Coins,Easy,1M,478.7K,46.9%,3.9K,53,"math, binary-search"
442. Find All Duplicates in an Array,Medium,1.1M,835.9K,76.0%,10.6K,212,"array, hash-table"
443. String Compression,Medium,1.2M,693.7K,56.1%,5.2K,336,"two-pointers, string"
445. Add Two Numbers II,Medium,809.8K,497.8K,61.5%,5.9K,58,"linked-list, math, stack"
446. Arithmetic Slices II - Subsequence,Hard,280.8K,153.3K,54.6%,3.4K,135,"array, dynamic-programming"
447. Number of Boomerangs,Medium,185.8K,103.7K,55.8%,847,12,"array, hash-table, math"
448. Find All Numbers Disappeared in an Array,Easy,1.6M,960.8K,61.5%,9.5K,67,"array, hash-table"
449. Serialize and Deserialize BST,Medium,419.8K,243.6K,58.0%,3.5K,18,"string, tree, depth-first-search, breadth-first-search, design, binary-search-tree, binary-tree"
450. Delete Node in a BST,Medium,1.1M,585.7K,52.2%,9.3K,108,"tree, binary-search-tree, binary-tree"
451. Sort Characters By Frequency,Medium,1.1M,811.8K,73.2%,8.4K,126,"hash-table, string, sorting, heap-priority-queue, bucket-sort, counting"
452. Minimum Number of Arrows to Burst Balloons,Medium,973.8K,579K,59.5%,7.6K,207,"array, greedy, sorting"
453. Minimum Moves to Equal Array Elements,Medium,319.9K,182.8K,57.1%,2.6K,37,"array, math"
454. 4Sum II,Medium,591.5K,339.5K,57.4%,4.9K,19,"array, hash-table"
455. Assign Cookies,Easy,1M,547.9K,53.2%,4.1K,245,"array, two-pointers, greedy, sorting"
456. 132 Pattern,Medium,801.2K,270.6K,33.8%,7.3K,116,"array, binary-search, stack, monotonic-stack, ordered-set"
457. Circular Array Loop,Medium,248.1K,86.1K,34.7%,706,52,"array, hash-table, two-pointers"
458. Poor Pigs,Hard,205K,121.9K,59.5%,1.8K,116,"math, dynamic-programming, combinatorics"
459. Repeated Substring Pattern,Easy,1M,481.5K,46.3%,6.5K,102,"string, string-matching"
460. LFU Cache,Hard,602.6K,271.8K,45.1%,5.8K,111,"hash-table, linked-list, design, doubly-linked-list"
461. Hamming Distance,Easy,789.2K,597.2K,75.7%,3.9K,28,bit-manipulation
462. Minimum Moves to Equal Array Elements II,Medium,315K,190.2K,60.4%,3.4K,19,"array, math, sorting"
463. Island Perimeter,Easy,918.4K,671.8K,73.2%,6.9K,139,"array, depth-first-search, breadth-first-search, matrix"
464. Can I Win,Medium,337.3K,100.8K,29.9%,2.7K,53,"math, dynamic-programming, bit-manipulation, memoization, game-theory, bitmask"
466. Count The Repetitions,Hard,66.1K,20.4K,30.8%,411,5,"string, dynamic-programming"
467. Unique Substrings in Wraparound String,Medium,116.7K,47.1K,40.4%,1.5K,8,"string, dynamic-programming"
468. Validate IP Address,Medium,632.5K,173.9K,27.5%,1K,31,string
470. Implement Rand10() Using Rand7(),Medium,192.8K,88.4K,45.8%,1.1K,16,"math, rejection-sampling, randomized, probability-and-statistics"
472. Concatenated Words,Hard,474.9K,234.2K,49.3%,3.9K,67,"array, string, dynamic-programming, depth-first-search, trie"
473. Matchsticks to Square,Medium,430.8K,174.5K,40.5%,3.9K,26,"array, dynamic-programming, backtracking, bit-manipulation, bitmask"
474. Ones and Zeroes,Medium,455.5K,219.1K,48.1%,5.5K,33,"array, string, dynamic-programming"
475. Heaters,Medium,330.8K,128.1K,38.7%,2.2K,33,"array, two-pointers, binary-search, sorting"
476. Number Complement,Easy,682.6K,480K,70.3%,3.1K,84,bit-manipulation
477. Total Hamming Distance,Medium,216.5K,115.1K,53.2%,2.2K,12,"array, math, bit-manipulation"
478. Generate Random Point in a Circle,Medium,107K,43K,40.2%,458,13,"math, geometry, rejection-sampling, randomized"
479. Largest Palindrome Product,Hard,76.3K,26K,34.0%,177,6,"math, enumeration"
480. Sliding Window Median,Hard,416K,161.4K,38.8%,3.3K,35,"array, hash-table, sliding-window, heap-priority-queue"
481. Magical String,Medium,75.9K,39.3K,51.8%,325,22,"two-pointers, string"
482. License Key Formatting,Easy,673.2K,297.3K,44.2%,1.1K,33,string
483. Smallest Good Base,Hard,57K,23.9K,41.9%,397,7,"math, binary-search"
485. Max Consecutive Ones,Easy,2.3M,1.4M,60.9%,5.9K,57,array
486. Predict the Winner,Medium,445.3K,246.9K,55.5%,5.9K,104,"array, math, dynamic-programming, recursion, game-theory"
488. Zuma Game,Hard,76.5K,24.7K,32.3%,459,11,"string, dynamic-programming, stack, breadth-first-search, memoization"
491. Non-decreasing Subsequences,Medium,289.4K,177K,61.2%,3.7K,47,"array, hash-table, backtracking, bit-manipulation"
492. Construct the Rectangle,Easy,216.9K,127.9K,59.0%,716,13,math
493. Reverse Pairs,Hard,692.8K,216.3K,31.2%,6.3K,57,"array, binary-search, divide-and-conquer, binary-indexed-tree, segment-tree, merge-sort, ordered-set"
494. Target Sum,Medium,1.4M,678.3K,47.7%,11.1K,77,"array, dynamic-programming, backtracking"
495. Teemo Attacking,Easy,291.2K,165.3K,56.8%,1.2K,46,"array, simulation"
496. Next Greater Element I,Easy,1.2M,852.1K,73.3%,8.3K,186,"array, hash-table, stack, monotonic-stack"
497. Random Point in Non-overlapping Rectangles,Medium,106.7K,43K,40.3%,484,8,"array, math, binary-search, reservoir-sampling, prefix-sum, ordered-set, randomized"
498. Diagonal Traverse,Medium,543.4K,333.2K,61.3%,3.5K,36,"array, matrix, simulation"
500. Keyboard Row,Easy,350.5K,250.6K,71.5%,1.6K,28,"array, hash-table, string"
501. Find Mode in Binary Search Tree,Easy,572.1K,324.5K,56.7%,3.9K,79,"tree, depth-first-search, binary-search-tree, binary-tree"
502. IPO,Hard,457.4K,242.6K,53.0%,3.8K,320,"array, greedy, sorting, heap-priority-queue"
503. Next Greater Element II,Medium,723.1K,469.4K,64.9%,8.1K,40,"array, stack, monotonic-stack"
504. Base 7,Easy,287.3K,146.1K,50.9%,813,10,math
506. Relative Ranks,Easy,436.2K,315.8K,72.4%,1.9K,94,"array, sorting, heap-priority-queue"
507. Perfect Number,Easy,524.7K,223.2K,42.5%,1.1K,45,math
508. Most Frequent Subtree Sum,Medium,223.1K,149.9K,67.2%,2.3K,19,"hash-table, tree, depth-first-search, binary-tree"
509. Fibonacci Number,Easy,2.9M,2.1M,71.9%,8.3K,100,"math, dynamic-programming, recursion, memoization"
511. Game Play Analysis I,Easy,417.7K,313.6K,75.1%,880,59,database
513. Find Bottom Left Tree Value,Medium,529.1K,377.9K,71.4%,3.8K,126,"tree, depth-first-search, breadth-first-search, binary-tree"
514. Freedom Trail,Hard,189.5K,111.9K,59.0%,1.5K,129,"string, dynamic-programming, depth-first-search, breadth-first-search"
515. Find Largest Value in Each Tree Row,Medium,551.2K,362.1K,65.7%,3.6K,72,"tree, depth-first-search, breadth-first-search, binary-tree"
516. Longest Palindromic Subsequence,Medium,862.4K,545.6K,63.3%,9.7K,87,"string, dynamic-programming"
517. Super Washing Machines,Hard,75.5K,31.4K,41.6%,780,21,"array, greedy"
518. Coin Change II,Medium,1.1M,705K,64.3%,9.5K,100,"array, dynamic-programming"
519. Random Flip Matrix,Medium,54.3K,23.1K,42.5%,434,8,"hash-table, math, reservoir-sampling, randomized"
520. Detect Capital,Easy,809.4K,456.1K,56.4%,3.4K,83,string
521. Longest Uncommon Subsequence I,Easy,199.7K,121.8K,61.0%,51,60,string
522. Longest Uncommon Subsequence II,Medium,131.8K,55.6K,42.2%,519,21,"array, hash-table, two-pointers, string, sorting"
523. Continuous Subarray Sum,Medium,2M,610.3K,30.4%,6.4K,242,"array, hash-table, math, prefix-sum"
524. Longest Word in Dictionary through Deleting,Medium,311.8K,160.3K,51.4%,1.8K,18,"array, two-pointers, string, sorting"
525. Contiguous Array,Medium,1M,498.1K,49.0%,8.1K,107,"array, hash-table, prefix-sum"
526. Beautiful Arrangement,Medium,285.9K,184K,64.4%,3.3K,14,"array, dynamic-programming, backtracking, bit-manipulation, bitmask"
528. Random Pick with Weight,Medium,1.1M,513.7K,47.4%,2K,85,"array, math, binary-search, prefix-sum, randomized"
529. Minesweeper,Medium,248.6K,166.9K,67.2%,2K,28,"array, depth-first-search, breadth-first-search, matrix"
530. Minimum Absolute Difference in BST,Easy,745.5K,436.5K,58.6%,4.4K,61,"tree, depth-first-search, breadth-first-search, binary-search-tree, binary-tree"
532. K-diff Pairs in an Array,Medium,827.1K,360.8K,43.6%,3.9K,27,"array, hash-table, two-pointers, binary-search, sorting"
535. Encode and Decode TinyURL,Medium,313.2K,271K,86.5%,2K,42,"hash-table, string, design, hash-function"
537. Complex Number Multiplication,Medium,137.4K,99.1K,72.1%,718,11,"math, string, simulation"
538. Convert BST to Greater Tree,Medium,448.1K,313.1K,69.9%,5.3K,27,"tree, depth-first-search, binary-search-tree, binary-tree"
539. Minimum Time Difference,Medium,484.2K,300.6K,62.1%,2.5K,136,"array, math, string, sorting"
540. Single Element in a Sorted Array,Medium,1.3M,763.4K,59.3%,11.5K,126,"array, binary-search"
541. Reverse String II,Easy,528.2K,270.7K,51.3%,2K,62,"two-pointers, string"
542. 01 Matrix,Medium,1.3M,634.3K,49.7%,9.7K,98,"array, dynamic-programming, breadth-first-search, matrix"
543. Diameter of Binary Tree,Easy,2.8M,1.7M,61.7%,14.1K,248,"tree, depth-first-search, binary-tree"
546. Remove Boxes,Hard,102.3K,49.2K,48.1%,2.3K,18,"array, dynamic-programming, memoization"
547. Number of Provinces,Medium,1.5M,1M,67.4%,9.9K,99,"depth-first-search, breadth-first-search, union-find, graph"
550. Game Play Analysis IV,Medium,594.6K,226.8K,38.1%,1K,182,database
551. Student Attendance Record I,Easy,476.7K,235.3K,49.4%,786,23,string
552. Student Attendance Record II,Hard,256.8K,142.3K,55.4%,2.3K,138,dynamic-programming
553. Optimal Division,Medium,69.6K,42.7K,61.3%,386,7,"array, math, dynamic-programming"
554. Brick Wall,Medium,268K,148.8K,55.5%,2.6K,35,"array, hash-table"
556. Next Greater Element III,Medium,484.8K,166.2K,34.3%,3.7K,24,"math, two-pointers, string"
557. Reverse Words in a String III,Easy,1.1M,951.3K,83.3%,6K,91,"two-pointers, string"
558. Logical OR of Two Binary Grids Represented as Quad-Trees,Medium,31.1K,15.6K,50.2%,190,5,"divide-and-conquer, tree"
559. Maximum Depth of N-ary Tree,Easy,412.4K,298.9K,72.5%,2.8K,11,"tree, depth-first-search, breadth-first-search"
560. Subarray Sum Equals K,Medium,3.3M,1.4M,44.3%,22.1K,185,"array, hash-table, prefix-sum"
561. Array Partition,Easy,649.9K,517K,79.5%,2.1K,50,"array, greedy, sorting, counting-sort"
563. Binary Tree Tilt,Easy,356.8K,224.2K,62.8%,2.3K,27,"tree, depth-first-search, binary-tree"
564. Find the Closest Palindrome,Hard,378K,119.9K,31.7%,1.2K,180,"math, string"
