Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
2076. Process Restricted Friend Requests,Hard,33K,18.5K,56.0%,619,5,"union-find, graph"
2078. Two Furthest Houses With Different Colors,Easy,94.5K,62.3K,65.9%,910,13,"array, greedy"
2079. Watering Plants,Medium,69.4K,55.4K,79.9%,921,18,"array, simulation"
2080. Range Frequency Queries,Medium,56.8K,23K,40.6%,665,9,"array, hash-table, binary-search, design, segment-tree"
2081. Sum of k-Mirror Numbers,Hard,17.9K,7.6K,42.4%,125,4,"math, enumeration"
2085. Count Common Words With One Occurrence,Easy,112.5K,80.4K,71.5%,837,8,"array, hash-table, string, counting"
2086. Minimum Number of Food Buckets to Feed the Hamsters,Medium,48.9K,22.9K,46.9%,542,10,"string, dynamic-programming, greedy"
2087. Minimum Cost Homecoming of a Robot in a Grid,Medium,38.7K,19.8K,51.1%,684,24,"array, greedy"
2088. Count Fertile Pyramids in a Land,Hard,16.1K,10.5K,65.1%,373,2,"array, dynamic-programming, matrix"
2089. Find Target Indices After Sorting Array,Easy,261.9K,201.3K,76.9%,1.8K,32,"array, binary-search, sorting"
2090. K Radius Subarray Averages,Medium,298.6K,137.1K,45.9%,1.9K,96,"array, sliding-window"
2091. Removing Minimum and Maximum From Array,Medium,85K,46.8K,55.0%,962,19,"array, greedy"
2092. Find All People With Secret,Hard,220.4K,100.2K,45.5%,1.6K,122,"depth-first-search, breadth-first-search, union-find, graph, sorting"
2094. Finding 3-Digit Even Numbers,Easy,57.4K,35.4K,61.8%,752,10,"array, hash-table, sorting, enumeration"
2095. Delete the Middle Node of a Linked List,Medium,886.7K,529.3K,59.7%,4.3K,55,"linked-list, two-pointers"
2096. Step-By-Step Directions From a Binary Tree Node to Another,Medium,367K,206.9K,56.4%,3.1K,167,"string, tree, depth-first-search, binary-tree"
2097. Valid Arrangement of Pairs,Hard,27.9K,12.5K,44.8%,512,10,"depth-first-search, graph, eulerian-circuit"
2099. Find Subsequence of Length K With the Largest Sum,Easy,126.8K,56.1K,44.3%,1.3K,27,"array, hash-table, sorting, heap-priority-queue"
2100. Find Good Days to Rob the Bank,Medium,57.2K,28.4K,49.7%,896,18,"array, dynamic-programming, prefix-sum"
2101. Detonate the Maximum Bombs,Medium,274.9K,134.2K,48.8%,3.1K,109,"array, math, depth-first-search, breadth-first-search, graph, geometry"
2102. Sequentially Ordinal Rank Tracker,Hard,25.1K,16.2K,64.6%,385,10,"design, heap-priority-queue, data-stream, ordered-set"
2103. Rings and Rods,Easy,98.2K,79.5K,80.9%,967,11,"hash-table, string"
2104. Sum of Subarray Ranges,Medium,195.9K,118.7K,60.6%,2.5K,41,"array, stack, monotonic-stack"
2105. Watering Plants II,Medium,44.3K,21.4K,48.4%,279,15,"array, two-pointers, simulation"
2106. Maximum Fruits Harvested After at Most K Steps,Hard,32K,11.7K,36.4%,561,2,"array, binary-search, sliding-window, prefix-sum"
2108. Find First Palindromic String in the Array,Easy,368.9K,309.5K,83.9%,1.5K,70,"array, two-pointers, string"
2109. Adding Spaces to a String,Medium,81.5K,48.6K,59.6%,569,15,"array, two-pointers, string, simulation"
2110. Number of Smooth Descent Periods of a Stock,Medium,66.3K,39.2K,59.2%,717,7,"array, math, dynamic-programming"
2111. Minimum Operations to Make the Array K-Increasing,Hard,34.5K,13.5K,39.1%,700,3,"array, binary-search"
2114. Maximum Number of Words Found in Sentences,Easy,366.2K,317.2K,86.6%,1.8K,25,"array, string"
2115. Find All Possible Recipes from Given Supplies,Medium,199.3K,100.3K,50.3%,1.9K,28,"array, hash-table, string, graph, topological-sort"
2116. Check if a Parentheses String Can Be Valid,Medium,88.4K,28.6K,32.4%,1.2K,10,"string, stack, greedy"
2117. Abbreviating the Product of a Range,Hard,14.3K,3.7K,26.0%,90,5,math
